Timestamp,Entity Name,IP - LIMPOS
2025-08-02 12:36:00,INVERSOR_1,8.770.754.385.964.910
2025-08-02 12:46:00,INVERSOR_1,7.335.155.172.413.790
2025-08-02 12:56:00,INVERSOR_1,5.230.224.137.931.030
2025-08-02 13:06:00,INVERSOR_1,4.455.877.192.982.450
2025-08-02 13:16:00,INVERSOR_1,6.716.862.068.965.510
2025-08-02 13:26:00,INVERSOR_1,5.120.561.403.508.770
2025-08-02 13:36:00,INVERSOR_1,7.096.586.206.896.550
2025-08-02 13:46:00,INVERSOR_1,6.773.827.586.206.890
2025-08-02 13:56:00,INVERSOR_1,6.475.771.929.824.560
2025-08-02 14:06:00,INVERSOR_1,6.268.965.517.241.370
2025-08-02 14:16:00,INVERSOR_1,5.977.465.517.241.370
2025-08-02 14:26:00,INVERSOR_1,5.730.298.245.614.030
2025-08-02 14:36:00,INVERSOR_1,5.384.862.068.965.510
2025-08-02 14:46:00,INVERSOR_1,5.034.824.561.403.500
2025-08-02 14:56:00,INVERSOR_1,46.985.172.413.793.100
2025-08-02 15:06:00,INVERSOR_1,43.942.758.620.689.600
2025-08-02 15:16:00,INVERSOR_1,400.859.649.122.807
2025-08-02 15:26:00,INVERSOR_1,36.298.275.862.068.900
2025-08-02 15:36:00,INVERSOR_1,3.243.350.877.192.980
2025-08-02 15:46:00,INVERSOR_1,2.850.965.517.241.370
2025-08-02 15:56:00,INVERSOR_1,24.218.275.862.068.900
2025-08-02 16:06:00,INVERSOR_1,20.038.421.052.631.500
2025-08-02 16:16:00,INVERSOR_1,15.874.310.344.827.500
2025-08-02 16:26:00,INVERSOR_1,10.967.931.034.482.700
2025-08-02 16:36:00,INVERSOR_1,7.698.421.052.631.570
2025-08-02 16:46:00,INVERSOR_1,4.812.068.965.517.240
2025-08-02 16:56:00,INVERSOR_1,23.420.689.655.172.400
2025-08-02 17:06:00,INVERSOR_1,1.389.298.245.614.030
2025-08-02 17:16:00,INVERSOR_1,6.277.586.206.896.550
2025-08-02 17:26:00,INVERSOR_1,8.912.280.701.754.380
2025-08-02 17:36:00,INVERSOR_1,0
2025-08-02 17:46:00,INVERSOR_1,0
2025-08-02 17:56:00,INVERSOR_1,0
2025-08-02 18:06:00,INVERSOR_1,0
2025-08-02 18:16:00,INVERSOR_1,0
2025-08-02 18:26:00,INVERSOR_1,0
2025-08-02 18:36:00,INVERSOR_1,0
2025-08-02 18:46:00,INVERSOR_1,0
2025-08-02 18:56:00,INVERSOR_1,0
2025-08-02 19:06:00,INVERSOR_1,0
2025-08-02 19:16:00,INVERSOR_1,0
2025-08-02 19:26:00,INVERSOR_1,0
2025-08-02 19:36:00,INVERSOR_1,0
2025-08-02 19:46:00,INVERSOR_1,0
2025-08-02 19:56:00,INVERSOR_1,0
2025-08-02 20:06:00,INVERSOR_1,0
2025-08-02 20:16:00,INVERSOR_1,0
2025-08-02 20:26:00,INVERSOR_1,0
2025-08-02 20:36:00,INVERSOR_1,0
2025-08-02 20:46:00,INVERSOR_1,0
2025-08-02 20:56:00,INVERSOR_1,0
2025-08-02 21:06:00,INVERSOR_1,0
2025-08-02 21:16:00,INVERSOR_1,0
2025-08-02 21:26:00,INVERSOR_1,0
2025-08-02 21:36:00,INVERSOR_1,0
2025-08-02 21:46:00,INVERSOR_1,0
2025-08-02 21:56:00,INVERSOR_1,0
2025-08-02 22:06:00,INVERSOR_1,0
2025-08-02 22:16:00,INVERSOR_1,0
2025-08-02 22:26:00,INVERSOR_1,0
2025-08-02 22:36:00,INVERSOR_1,0
2025-08-02 22:46:00,INVERSOR_1,0
2025-08-02 22:56:00,INVERSOR_1,0
2025-08-02 23:06:00,INVERSOR_1,0
2025-08-02 23:16:00,INVERSOR_1,0
2025-08-02 23:26:00,INVERSOR_1,0
2025-08-02 23:36:00,INVERSOR_1,0
2025-08-02 23:46:00,INVERSOR_1,0
2025-08-02 23:56:00,INVERSOR_1,0
2025-08-03 00:06:00,INVERSOR_1,0
2025-08-03 00:16:00,INVERSOR_1,0
2025-08-03 00:26:00,INVERSOR_1,0
2025-08-03 00:36:00,INVERSOR_1,0
2025-08-03 00:46:00,INVERSOR_1,0
2025-08-03 00:56:00,INVERSOR_1,0
2025-08-03 01:06:00,INVERSOR_1,0
2025-08-03 01:16:00,INVERSOR_1,0
2025-08-03 01:26:00,INVERSOR_1,0
2025-08-03 01:36:00,INVERSOR_1,0
2025-08-03 01:46:00,INVERSOR_1,0
2025-08-03 01:56:00,INVERSOR_1,0
2025-08-03 02:06:00,INVERSOR_1,0
2025-08-03 02:16:00,INVERSOR_1,0
2025-08-03 02:26:00,INVERSOR_1,0
2025-08-03 02:36:00,INVERSOR_1,0
2025-08-03 02:46:00,INVERSOR_1,0
2025-08-03 02:56:00,INVERSOR_1,0
2025-08-03 03:06:00,INVERSOR_1,0
2025-08-03 03:16:00,INVERSOR_1,0
2025-08-03 03:26:00,INVERSOR_1,0
2025-08-03 03:36:00,INVERSOR_1,0
2025-08-03 03:46:00,INVERSOR_1,0
2025-08-03 03:56:00,INVERSOR_1,0
2025-08-03 04:06:00,INVERSOR_1,0
2025-08-03 04:16:00,INVERSOR_1,0
2025-08-03 04:26:00,INVERSOR_1,0
2025-08-03 04:36:00,INVERSOR_1,0
2025-08-03 04:46:00,INVERSOR_1,0
2025-08-03 04:56:00,INVERSOR_1,0
2025-08-03 05:06:00,INVERSOR_1,0
2025-08-03 05:16:00,INVERSOR_1,0
2025-08-03 05:26:00,INVERSOR_1,0
2025-08-03 05:36:00,INVERSOR_1,0
2025-08-03 05:46:00,INVERSOR_1,0
2025-08-03 05:56:00,INVERSOR_1,0
2025-08-03 06:06:00,INVERSOR_1,3.598.275.862.068.960
2025-08-03 06:16:00,INVERSOR_1,14.598.275.862.068.900
2025-08-03 06:26:00,INVERSOR_1,4.295.789.473.684.210
2025-08-03 06:36:00,INVERSOR_1,14.668.103.448.275.800
2025-08-03 06:46:00,INVERSOR_1,23.628.275.862.068.900
2025-08-03 06:56:00,INVERSOR_1,28.422.280.701.754.300
2025-08-03 07:06:00,INVERSOR_1,3.274.379.310.344.820
